studio,domestic_gross,foreign_gross,year
A23,13200,0,2013
A24,14100000,17600000,2013
AF,76900,0,2013
Anch.,74900,0,2013
ATO,13500,794000,2013
BV,400700000,875700000,2013
CBS,63900000,70500000,2013
Cdgm.,0,21300000,2013
CGld,561000,0,2013
CJ,665000,48300000,2013
CL,376000,115800000,2013
Cohen,390000,11500000,2013
Da.,17700,3600000,2013
Distrib.,900,15200000,2013
Drft.,22100,3600000,2013
E1,340000,1300000,2013
Elev.,376000,12600000,2013
ELS,2300000,0,2013
EOne,335000,21400000,2013
Eros,3800000,0,2013
EXCL,319000,0,2013
FCW,166000,0,2013
FD,98900000,71300000,2013
FEF,613000,0,2013
FIP,0,6000000,2013
FM,5900,306000,2013
Focus,27300000,27900000,2013
Fox,187200000,400000000,2013
FoxS,56700000,131100000,2013
FRun,38600,0,2013
GK,1000000,60000000,2013
Gold.,2300000,0,2013
HTR,2400000,0,2013
IFC,2200000,5200000,2013
Imax,7600000,6500000,2013
Jan.,2900000,18500000,2013
KL,21500,1200000,2013
LD,1400000,0,2013
LG/S,117700000,234000000,2013
LGF,424700000,440300000,2013
Magn.,34700,28200000,2013
MBox,38700,1100000,2013
MNE,1000,27200000,2013
MPI,102000,1500000,2013
MSF,259000,0,2013
NGE,8000000,1300000,2013
ORF,32200000,31200000,2013
Osci.,72600,2200000,2013
P/108,190000,0,2013
Par.,202400000,337600000,2013
PH,3400000,4600000,2013
PI,0,2100000,2013
PM&E,516000,54100000,2013
RAtt.,21600000,11000000,2013
Rela.,55800000,54600000,2013
Relbig.,1600000,0,2013
Rialto,3500,0,2013
RTWC,779000,9900000,2013
SD,18200,0,2013
SGem,31200000,64200000,2013
Sony,71000000,276500000,2013
SPC,33400000,64099999,2013
Strand,8900,4400000,2013
TFA,112000,0,2013
Trib.,175000,5300000,2013
TriS,93100000,193100000,2013
TVC,850000,0,2013
Uni.,368100000,602700000,2013
UTV,5300000,0,2013
Vari.,423000,0,2013
Vita.,1100,0,2013
W/Dim.,32000000,46400000,2013
WAMCR,57400,197700000,2013
WB,274100000,449100000,2013
WB (NL),258399999,700000000,2013
Wein.,116600000,60000000,2013
WGUSA,458000,31200000,2013
XL,117000,0,2013
Yash,8000000,80000000,2013
Zeit.,717000,0,2013
